Wine,Producer,Vintage,Type,Region,Country,Rating,Quantity,Notes
Sassicaia,Tenuta San Guido,2017,Red,Tuscany,Italy,4.6,2,Super Tuscan blend. Excellent structure.
Sancerre Blanc,Domaine Vacheron,2021,White,Loire Valley,France,4.2,3,Classic Sauvignon Blanc. Crisp and mineral.
Châteauneuf-du-Pape,Domaine du Vieux Télégraphe,2019,Red,Rhône Valley,France,4.5,1,Grenache blend. Full-bodied and complex.
Chablis Premier Cru,Louis Michel,2020,White,Burgundy,France,4.3,2,Unoaked Chardonnay. Pure and elegant.
Barolo Cannubi,Paolo Scavino,2016,Red,Piedmont,Italy,4.7,1,Nebbiolo at its finest. Needs decanting.
Pouilly-Fumé,Château de Tracy,2022,White,Loire Valley,France,4.0,4,Sauvignon Blanc. Fresh and zesty.
Brunello di Montalcino,Biondi-Santi,2015,Red,Tuscany,Italy,4.8,1,Legendary producer. Age-worthy.
Moët & Chandon Impérial,Moët & Chandon,NV,Sparkling,Champagne,France,3.9,3,Classic brut champagne for celebrations.
Miraval Rosé,Château Miraval,2022,Rosé,Provence,France,3.8,5,Brad Pitt's rosé. Perfect for summer.
Vega Sicilia Unico,Vega Sicilia,2009,Red,Ribera del Duero,Spain,4.9,1,Spain's most prestigious wine.

